distance_group,HousePrice
3.72,5321.9716797
35.12,2871.1604004
0.99,2879.7380371
0.99,2879.7380371
0.99,2879.7380371
0.99,2879.7380371
26.43,1969.5635986
1.0,4667.8349609
1.0,4667.8349609
1.0,4667.8349609
1.0,4667.8349609
1.0,4667.8349609
1.0,4667.8349609
1.0,4667.8349609
1.0,4667.8349609
1.0,4667.8349609
70.08,2606.8935547
2.32,2965.0517578
2.32,2965.0517578
0.82,4643.5419922
0.82,4643.5419922
0.82,4643.5419922
3.63,4064.3981934
3.63,4064.3981934
3.63,4064.3981934
3.63,4064.3981934
3.63,4064.3981934
3.63,4064.3981934
3.63,4064.3981934
3.63,4064.3981934
3.63,4064.3981934
3.63,4064.3981934
3.63,4064.3981934
3.63,4064.3981934
3.63,4064.3981934
3.63,4064.3981934
3.63,4064.3981934
3.63,4064.3981934
3.63,4064.3981934
3.63,4064.3981934
3.63,4064.3981934
3.63,4064.3981934
3.63,4064.3981934
3.63,4064.3981934
3.63,4064.3981934
3.63,4064.3981934
1.1,4143.9550781
1.1,4143.9550781
1.1,4143.9550781
1.1,4143.9550781
21.95,1885.8859863
3.27,6095.9077148
3.27,6095.9077148
3.27,6095.9077148
3.27,6095.9077148
3.27,6095.9077148
3.27,6095.9077148
3.27,6095.9077148
3.27,6095.9077148
3.27,6095.9077148
3.27,6095.9077148
3.27,6095.9077148
3.27,6095.9077148
1.79,3292.7109375
1.79,3292.7109375
1.79,3292.7109375
1.79,3292.7109375
1.79,3292.7109375
1.79,3292.7109375
1.79,3292.7109375
1.57,2030.8278809
1.57,2030.8278809
1.57,2030.8278809
1.11,5338.0180664
1.11,5338.0180664
1.11,5338.0180664
1.11,5338.0180664
1.11,5338.0180664
0.84,2206.3430176
1.79,2174.3486328
0.86,3084.1425781
0.99,2503.3615723
0.99,2503.3615723
1.9,1983.4299316
1.9,1983.4299316
1.81,1977.6268311
1.81,1977.6268311
1.81,1977.6268311
2.12,2103.6923828
1.15,1894.1359863
2.12,2085.6535645
0.5,2201.7695312
0.5,2201.7695312
0.5,2201.7695312
0.97,2469.7907715
0.97,2469.7907715
1.09,2875.3078613
0.17,1783.8820801
1.43,2544.8349609
1.43,2544.8349609
1.43,2544.8349609
1.43,2544.8349609
1.43,2197.7878418
0.84,2267.7900391
0.84,2267.7900391
2.06,2141.0571289
0.84,2227.8378906
1.91,2872.9975586
1.91,2872.9975586
1.91,2872.9975586
1.22,4032.3327637
1.22,4032.3327637
1.22,4032.3327637
1.22,4032.3327637
1.22,4032.3327637
0.73,4337.2983398
0.73,4337.2983398
0.73,4337.2983398
0.73,4337.2983398
0.73,4337.2983398
0.73,4337.2983398
0.73,4337.2983398
0.73,4337.2983398
0.73,4337.2983398
1.99,2334.473877
1.99,2334.473877
1.99,2334.473877
1.99,2334.473877
6.05,2139.2512207
6.05,2139.2512207
6.05,2139.2512207
2.54,2413.1030273
1.8,2680.027832
0.57,2683.4448242
1.75,3342.9289551
1.75,3342.9289551
1.24,2658.380127
1.21,2838.9943848
2.57,2721.5793457
2.2,2687.2299805
38.02,2577.1806641
38.02,2577.1806641
1.31,2947.3518066
2.9,3140.4440918
2.9,3140.4440918
1.1,3424.949707
1.1,3424.949707
1.1,3424.949707
1.1,3424.949707
1.1,3424.949707
1.1,3424.949707
1.29,2657.2211914
1.29,2657.2211914
1.29,2657.2211914
1.29,2657.2211914
1.29,2657.2211914
1.29,2657.2211914
3.04,2368.092041
2.53,2512.2937012
2.53,2512.2937012
2.53,2512.2937012
0.01,2921.439209
0.01,2921.439209
0.01,2921.439209
0.01,2921.439209
0.01,2921.439209
3.15,2666.7177734
1.69,4016.3566895
1.69,4016.3566895
0.09,2941.8654785
0.09,2941.8654785
0.09,2941.8654785
